,id,condition,mode,run,pressed_key,pressed_correct_key,reaction_time_in_sec,time_waited_in_sec,time_stamp
98,1,light,1,9,space,True,0.4620354175567627,4,2021-05-05 20:21:38.617813
99,1,light,1,10,space,True,0.4372234344482422,5,2021-05-05 20:21:44.593689
100,1,dark,2,1,space,True,0.8997917175292969,1,2021-05-05 20:22:23.553525
101,1,dark,2,2,space,True,0.4635770320892334,4,2021-05-05 20:22:47.617707
102,1,dark,2,3,space,True,0.5926961898803711,6,2021-05-05 20:23:00.746251
103,1,dark,2,4,space,True,0.8656463623046875,4,2021-05-05 20:23:06.521917
104,1,dark,2,5,space,True,0.5366399288177489,5,2021-05-05 20:23:15.689865
105,1,dark,2,6,space,True,0.630542516708374,4,2021-05-05 20:23:20.785852
106,1,dark,2,7,space,True,0.418853759765625,4,2021-05-05 20:23:25.569663
107,1,dark,2,8,space,False,0.5133802890777588,4,2021-05-05 20:23:33.666689
108,1,dark,2,9,space,True,0.4327967166900635,5,2021-05-05 20:23:41.585998
109,1,dark,2,10,space,True,0.4899141788482666,5,2021-05-05 20:23:50.641794
110,1,light,2,1,space,True,0.4799647331237793,1,2021-05-05 20:23:58.633863
111,1,light,2,2,space,True,0.4566836357116699,2,2021-05-05 20:24:13.610186
112,1,light,2,3,space,True,0.5045156478881836,4,2021-05-05 20:24:21.658453
113,1,light,2,4,space,True,0.5482137203216553,2,2021-05-05 20:24:31.201764
114,1,light,2,5,space,True,0.6194865703582764,1,2021-05-05 20:24:33.465759
115,1,light,2,6,space,True,0.4885420799255371,3,2021-05-05 20:24:46.641841
116,1,light,2,7,space,True,0.5050625801086426,2,2021-05-05 20:24:52.658016
117,1,light,2,8,space,True,0.48820853233337397,1,2021-05-05 20:24:57.641756
118,1,light,2,9,space,True,0.4709632396697998,4,2021-05-05 20:25:02.625718
119,1,light,2,10,space,True,0.4986157417297363,2,2021-05-05 20:25:09.153364
